Figure2C		
FILTER	SAMPLE	PERCENT
EXP_OUTLIER_PLI	samp72	10.12658228
EXP_OUTLIER_ASE	samp72	46.62447257
EXP_OUTLIER_RIVER	samp72	64.34599156
EXP_OUTLIER_HPO	samp72	9.07172996
EXP_OUTLIER_RV	samp72	46.83544304
EXP_OUTLIER_RV_CADD	samp72	9.28270042
EXP_OUTLIER_RV_CADD_HPO	samp72	2.10970464
EXP_OUTLIER_PLI	samp73	10.52631579
EXP_OUTLIER_ASE	samp73	48.68421053
EXP_OUTLIER_RIVER	samp73	61.84210526
EXP_OUTLIER_HPO	samp73	6.79824561
EXP_OUTLIER_RV	samp73	40.57017544
EXP_OUTLIER_RV_CADD	samp73	7.01754386
EXP_OUTLIER_RV_CADD_HPO	samp73	0.87719298
EXP_OUTLIER_PLI	samp74	28.30188679
EXP_OUTLIER_ASE	samp74	18.86792453
EXP_OUTLIER_RIVER	samp74	78.30188679
EXP_OUTLIER_HPO	samp74	10.37735849
EXP_OUTLIER_RV	samp74	63.20754717
EXP_OUTLIER_RV_CADD	samp74	19.81132075
EXP_OUTLIER_RV_CADD_HPO	samp74	0
EXP_OUTLIER_PLI	samp75	9.84615385
EXP_OUTLIER_ASE	samp75	11.23076923
EXP_OUTLIER_RIVER	samp75	22
EXP_OUTLIER_HPO	samp75	4.76923077
EXP_OUTLIER_RV	samp75	6.46153846
EXP_OUTLIER_RV_CADD	samp75	2.61538462
EXP_OUTLIER_RV_CADD_HPO	samp75	0.15384615
