SampleID	OutlierCount	Direction	Cutoff	Cohort	NumGenes
samp572	148	Over	2	DGNControl	14763
samp573	256	Over	2	DGNControl	14763
samp574	369	Over	2	DGNControl	14763
samp575	423	Over	2	DGNControl	14763
samp576	158	Over	2	DGNControl	14763
samp577	369	Over	2	DGNControl	14763
samp578	325	Over	2	DGNControl	14763
samp579	230	Over	2	DGNControl	14763
samp580	407	Over	2	DGNControl	14763
samp581	401	Over	2	DGNControl	14763
samp582	225	Over	2	DGNControl	14763
samp583	190	Over	2	DGNControl	14763
samp584	492	Over	2	DGNControl	14763
samp585	457	Over	2	DGNControl	14763
samp586	226	Over	2	DGNControl	14763
samp587	183	Over	2	DGNControl	14763
samp588	228	Over	2	DGNControl	14763
samp589	319	Over	2	DGNControl	14763
samp590	490	Over	2	DGNControl	14763
samp591	444	Over	2	DGNControl	14763
samp592	213	Over	2	DGNControl	14763
samp593	389	Over	2	DGNControl	14763
samp594	395	Over	2	DGNControl	14763
samp595	230	Over	2	DGNControl	14763
samp596	174	Over	2	DGNControl	14763
samp597	335	Over	2	DGNControl	14763
samp598	436	Over	2	DGNControl	14763
samp599	147	Over	2	DGNControl	14763
samp600	302	Over	2	DGNControl	14763
samp601	294	Over	2	DGNControl	14763
samp602	258	Over	2	DGNControl	14763
samp603	340	Over	2	DGNControl	14763
samp604	339	Over	2	DGNControl	14763
samp605	298	Over	2	DGNControl	14763
samp606	227	Over	2	DGNControl	14763
samp607	224	Over	2	DGNControl	14763
samp608	189	Over	2	DGNControl	14763
samp609	190	Over	2	DGNControl	14763
samp610	266	Over	2	DGNControl	14763
samp611	196	Over	2	DGNControl	14763
samp612	249	Over	2	DGNControl	14763
samp613	220	Over	2	DGNControl	14763
samp614	358	Over	2	DGNControl	14763
samp615	463	Over	2	DGNControl	14763
samp616	271	Over	2	DGNControl	14763
samp617	162	Over	2	DGNControl	14763
samp618	363	Over	2	DGNControl	14763
samp619	192	Over	2	DGNControl	14763
samp620	502	Over	2	DGNControl	14763
samp621	526	Over	2	DGNControl	14763
samp622	351	Over	2	DGNControl	14763
samp623	293	Over	2	DGNControl	14763
samp624	518	Over	2	DGNControl	14763
samp625	509	Over	2	DGNControl	14763
samp626	252	Over	2	DGNControl	14763
samp627	190	Over	2	DGNControl	14763
samp628	447	Over	2	DGNControl	14763
samp629	286	Over	2	DGNControl	14763
samp630	634	Over	2	DGNControl	14763
samp631	451	Over	2	DGNControl	14763
samp632	216	Over	2	DGNControl	14763
samp633	306	Over	2	DGNControl	14763
samp634	262	Over	2	DGNControl	14763
samp635	235	Over	2	DGNControl	14763
samp636	92	Over	2	DGNControl	14763
samp637	373	Over	2	DGNControl	14763
samp638	245	Over	2	DGNControl	14763
samp639	196	Over	2	DGNControl	14763
samp640	280	Over	2	DGNControl	14763
samp641	182	Over	2	DGNControl	14763
samp642	238	Over	2	DGNControl	14763
samp643	200	Over	2	DGNControl	14763
samp644	306	Over	2	DGNControl	14763
samp645	185	Over	2	DGNControl	14763
samp646	215	Over	2	DGNControl	14763
samp647	149	Over	2	DGNControl	14763
samp648	212	Over	2	DGNControl	14763
samp649	283	Over	2	DGNControl	14763
samp650	452	Over	2	DGNControl	14763
samp651	395	Over	2	DGNControl	14763
samp652	238	Over	2	DGNControl	14763
samp653	189	Over	2	DGNControl	14763
samp654	234	Over	2	DGNControl	14763
samp655	343	Over	2	DGNControl	14763
samp656	316	Over	2	DGNControl	14763
samp657	235	Over	2	DGNControl	14763
samp658	201	Over	2	DGNControl	14763
samp659	223	Over	2	DGNControl	14763
samp660	321	Over	2	DGNControl	14763
samp661	216	Over	2	DGNControl	14763
samp662	176	Over	2	DGNControl	14763
samp663	483	Over	2	DGNControl	14763
samp664	406	Over	2	DGNControl	14763
samp665	265	Over	2	DGNControl	14763
samp666	295	Over	2	DGNControl	14763
samp667	444	Over	2	DGNControl	14763
samp668	551	Over	2	DGNControl	14763
samp669	342	Over	2	DGNControl	14763
samp670	270	Over	2	DGNControl	14763
samp671	347	Over	2	DGNControl	14763
samp672	284	Over	2	DGNControl	14763
samp673	355	Over	2	DGNControl	14763
samp674	286	Over	2	DGNControl	14763
samp675	210	Over	2	DGNControl	14763
samp676	368	Over	2	DGNControl	14763
samp677	384	Over	2	DGNControl	14763
samp678	234	Over	2	DGNControl	14763
samp679	444	Over	2	DGNControl	14763
samp680	241	Over	2	DGNControl	14763
samp681	234	Over	2	DGNControl	14763
samp682	317	Over	2	DGNControl	14763
samp683	433	Over	2	DGNControl	14763
samp684	546	Over	2	DGNControl	14763
samp685	172	Over	2	DGNControl	14763
samp686	270	Over	2	DGNControl	14763
samp687	347	Over	2	DGNControl	14763
samp688	133	Over	2	DGNControl	14763
samp689	194	Over	2	DGNControl	14763
samp690	272	Over	2	DGNControl	14763
samp691	172	Over	2	DGNControl	14763
