sample	value	filter
samp35	248	EXP_OUTLIER_PLI
samp35	235	EXP_OUTLIER_ASE
samp35	90	EXP_OUTLIER_RIVER
samp35	6	EXP_OUTLIER_HPO
samp35	25	EXP_OUTLIER_RV
samp35	13	EXP_OUTLIER_RV_CADD
samp35	0	EXP_OUTLIER_RV_CADD_HPO
samp36	99	RV_10KB_CADD
samp36	48	RV_10KB_HPO
samp36	20	RV_10KB_CADD_HPO
samp36	2388	HPO
samp36	1153	EXP_OUTLIER
samp36	155	EXP_OUTLIER_PLI
samp36	215	EXP_OUTLIER_ASE
samp36	57	EXP_OUTLIER_RIVER
samp36	128	EXP_OUTLIER_HPO
samp36	13	EXP_OUTLIER_RV
samp36	8	EXP_OUTLIER_RV_CADD
samp36	1	EXP_OUTLIER_RV_CADD_HPO
samp37	186	RV_10KB_CADD
samp37	43	RV_10KB_HPO
samp37	12	RV_10KB_CADD_HPO
samp37	992	HPO
samp37	1234	EXP_OUTLIER
samp37	187	EXP_OUTLIER_PLI
samp37	225	EXP_OUTLIER_ASE
samp37	71	EXP_OUTLIER_RIVER
samp37	68	EXP_OUTLIER_HPO
samp37	26	EXP_OUTLIER_RV
samp37	10	EXP_OUTLIER_RV_CADD
samp37	2	EXP_OUTLIER_RV_CADD_HPO
samp38	111	RV_10KB_CADD
samp38	65	RV_10KB_HPO
samp38	22	RV_10KB_CADD_HPO
samp38	2533	HPO
samp38	1211	EXP_OUTLIER
samp38	160	EXP_OUTLIER_PLI
samp38	341	EXP_OUTLIER_ASE
samp38	64	EXP_OUTLIER_RIVER
samp38	114	EXP_OUTLIER_HPO
samp38	18	EXP_OUTLIER_RV
samp38	6	EXP_OUTLIER_RV_CADD
samp38	0	EXP_OUTLIER_RV_CADD_HPO
samp39	128	RV_10KB_CADD
samp39	58	RV_10KB_HPO
samp39	18	RV_10KB_CADD_HPO
samp39	1635	HPO
samp39	1104	EXP_OUTLIER
samp39	152	EXP_OUTLIER_PLI
samp39	208	EXP_OUTLIER_ASE
samp39	38	EXP_OUTLIER_RIVER
samp39	76	EXP_OUTLIER_HPO
samp39	11	EXP_OUTLIER_RV
samp39	1	EXP_OUTLIER_RV_CADD
samp39	0	EXP_OUTLIER_RV_CADD_HPO
samp40	864	RV_10KB_CADD
samp40	1403	RV_10KB_HPO
samp40	166	RV_10KB_CADD_HPO
samp40	3108	HPO
samp40	1426	EXP_OUTLIER
samp40	143	EXP_OUTLIER_PLI
samp40	0	EXP_OUTLIER_ASE
samp40	751	EXP_OUTLIER_RIVER
samp40	168	EXP_OUTLIER_HPO
samp40	420	EXP_OUTLIER_RV
samp40	51	EXP_OUTLIER_RV_CADD
samp40	11	EXP_OUTLIER_RV_CADD_HPO
samp41	97	RV_10KB_CADD
samp41	58	RV_10KB_HPO
samp41	22	RV_10KB_CADD_HPO
samp41	2427	HPO
samp41	2171	EXP_OUTLIER
samp41	313	EXP_OUTLIER_PLI
samp41	0	EXP_OUTLIER_ASE
samp41	75	EXP_OUTLIER_RIVER
samp41	181	EXP_OUTLIER_HPO
samp41	29	EXP_OUTLIER_RV
samp41	7	EXP_OUTLIER_RV_CADD
samp41	2	EXP_OUTLIER_RV_CADD_HPO
samp42	73	RV_10KB_CADD
samp42	37	RV_10KB_HPO
samp42	7	RV_10KB_CADD_HPO
samp42	1788	HPO
samp42	1671	EXP_OUTLIER
samp42	232	EXP_OUTLIER_PLI
samp42	0	EXP_OUTLIER_ASE
samp42	69	EXP_OUTLIER_RIVER
samp42	104	EXP_OUTLIER_HPO
samp42	18	EXP_OUTLIER_RV
samp42	3	EXP_OUTLIER_RV_CADD
samp42	0	EXP_OUTLIER_RV_CADD_HPO
samp43	1939	RV_10KB_CADD
samp43	698	RV_10KB_HPO
samp43	140	RV_10KB_CADD_HPO
samp43	1287	HPO
samp43	1589	EXP_OUTLIER
samp43	217	EXP_OUTLIER_PLI
samp43	522	EXP_OUTLIER_ASE
samp43	1024	EXP_OUTLIER_RIVER
samp43	81	EXP_OUTLIER_HPO
samp43	692	EXP_OUTLIER_RV
samp43	147	EXP_OUTLIER_RV_CADD
samp43	14	EXP_OUTLIER_RV_CADD_HPO
samp44	3548	RV_10KB_CADD
samp44	1911	RV_10KB_HPO
samp44	602	RV_10KB_CADD_HPO
samp44	2738	HPO
samp44	1464	EXP_OUTLIER
samp44	214	EXP_OUTLIER_PLI
samp44	460	EXP_OUTLIER_ASE
samp44	915	EXP_OUTLIER_RIVER
samp44	162	EXP_OUTLIER_HPO
samp44	760	EXP_OUTLIER_RV
samp44	204	EXP_OUTLIER_RV_CADD
samp44	27	EXP_OUTLIER_RV_CADD_HPO
samp45	58	RV_10KB_CADD
samp45	22	RV_10KB_HPO
samp45	6	RV_10KB_CADD_HPO
samp45	1545	HPO
samp45	1851	EXP_OUTLIER
samp45	297	EXP_OUTLIER_PLI
samp45	0	EXP_OUTLIER_ASE
samp45	132	EXP_OUTLIER_RIVER
samp45	114	EXP_OUTLIER_HPO
samp45	12	EXP_OUTLIER_RV
samp45	3	EXP_OUTLIER_RV_CADD
samp45	0	EXP_OUTLIER_RV_CADD_HPO
samp46	478	RV_10KB_CADD
samp46	234	RV_10KB_HPO
samp46	92	RV_10KB_CADD_HPO
samp46	2801	HPO
samp46	1464	EXP_OUTLIER
samp46	178	EXP_OUTLIER_PLI
samp46	363	EXP_OUTLIER_ASE
samp46	110	EXP_OUTLIER_RIVER
samp46	155	EXP_OUTLIER_HPO
samp46	64	EXP_OUTLIER_RV
samp46	31	EXP_OUTLIER_RV_CADD
samp46	8	EXP_OUTLIER_RV_CADD_HPO
samp47	85	RV_10KB_CADD
samp47	57	RV_10KB_HPO
samp47	18	RV_10KB_CADD_HPO
samp47	2938	HPO
samp47	1477	EXP_OUTLIER
samp47	198	EXP_OUTLIER_PLI
samp47	0	EXP_OUTLIER_ASE
samp47	71	EXP_OUTLIER_RIVER
samp47	134	EXP_OUTLIER_HPO
samp47	14	EXP_OUTLIER_RV
samp47	5	EXP_OUTLIER_RV_CADD
samp47	0	EXP_OUTLIER_RV_CADD_HPO
samp48	1654	RV_10KB_CADD
samp48	1549	RV_10KB_HPO
samp48	261	RV_10KB_CADD_HPO
samp48	2728	HPO
samp48	1059	EXP_OUTLIER
samp48	155	EXP_OUTLIER_PLI
samp48	442	EXP_OUTLIER_ASE
samp48	623	EXP_OUTLIER_RIVER
samp48	111	EXP_OUTLIER_HPO
samp48	405	EXP_OUTLIER_RV
samp48	67	EXP_OUTLIER_RV_CADD
samp48	10	EXP_OUTLIER_RV_CADD_HPO
samp49	1793	RV_10KB_CADD
samp49	1567	RV_10KB_HPO
samp49	302	RV_10KB_CADD_HPO
samp49	2761	HPO
samp49	1099	EXP_OUTLIER
samp49	150	EXP_OUTLIER_PLI
samp49	517	EXP_OUTLIER_ASE
samp49	649	EXP_OUTLIER_RIVER
samp49	123	EXP_OUTLIER_HPO
samp49	439	EXP_OUTLIER_RV
samp49	67	EXP_OUTLIER_RV_CADD
samp49	15	EXP_OUTLIER_RV_CADD_HPO
samp50	276	RV_10KB_CADD
samp50	149	RV_10KB_HPO
samp50	56	RV_10KB_CADD_HPO
samp50	2853	HPO
samp50	881	EXP_OUTLIER
samp50	103	EXP_OUTLIER_PLI
samp50	86	EXP_OUTLIER_ASE
samp50	71	EXP_OUTLIER_RIVER
samp50	79	EXP_OUTLIER_HPO
samp50	21	EXP_OUTLIER_RV
samp50	7	EXP_OUTLIER_RV_CADD
samp50	1	EXP_OUTLIER_RV_CADD_HPO
samp51	1478	RV_10KB_CADD
samp51	203	RV_10KB_HPO
samp51	43	RV_10KB_CADD_HPO
samp51	394	HPO
samp51	982	EXP_OUTLIER
samp51	142	EXP_OUTLIER_PLI
samp51	156	EXP_OUTLIER_ASE
samp51	556	EXP_OUTLIER_RIVER
samp51	14	EXP_OUTLIER_HPO
samp51	354	EXP_OUTLIER_RV
samp51	49	EXP_OUTLIER_RV_CADD
samp51	0	EXP_OUTLIER_RV_CADD_HPO
samp52	3168	RV_10KB_CADD
samp52	1572	RV_10KB_HPO
samp52	449	RV_10KB_CADD_HPO
samp52	2256	HPO
samp52	1056	EXP_OUTLIER
samp52	159	EXP_OUTLIER_PLI
samp52	440	EXP_OUTLIER_ASE
samp52	661	EXP_OUTLIER_RIVER
samp52	82	EXP_OUTLIER_HPO
samp52	517	EXP_OUTLIER_RV
samp52	109	EXP_OUTLIER_RV_CADD
samp52	24	EXP_OUTLIER_RV_CADD_HPO
samp53	1234	RV_10KB_CADD
samp53	146	RV_10KB_HPO
samp53	33	RV_10KB_CADD_HPO
samp53	394	HPO
samp53	939	EXP_OUTLIER
samp53	116	EXP_OUTLIER_PLI
samp53	135	EXP_OUTLIER_ASE
samp53	462	EXP_OUTLIER_RIVER
samp53	13	EXP_OUTLIER_HPO
samp53	258	EXP_OUTLIER_RV
samp53	48	EXP_OUTLIER_RV_CADD
samp53	0	EXP_OUTLIER_RV_CADD_HPO
samp54	298	RV_10KB_CADD
samp54	160	RV_10KB_HPO
samp54	53	RV_10KB_CADD_HPO
samp54	2859	HPO
samp54	952	EXP_OUTLIER
samp54	108	EXP_OUTLIER_PLI
samp54	77	EXP_OUTLIER_ASE
samp54	88	EXP_OUTLIER_RIVER
samp54	107	EXP_OUTLIER_HPO
samp54	34	EXP_OUTLIER_RV
samp54	14	EXP_OUTLIER_RV_CADD
samp54	2	EXP_OUTLIER_RV_CADD_HPO
samp55	1703	RV_10KB_CADD
samp55	1235	RV_10KB_HPO
samp55	245	RV_10KB_CADD_HPO
samp55	2197	HPO
samp55	1009	EXP_OUTLIER
samp55	143	EXP_OUTLIER_PLI
samp55	415	EXP_OUTLIER_ASE
samp55	580	EXP_OUTLIER_RIVER
samp55	82	EXP_OUTLIER_HPO
samp55	377	EXP_OUTLIER_RV
samp55	74	EXP_OUTLIER_RV_CADD
samp55	11	EXP_OUTLIER_RV_CADD_HPO
samp56	279	RV_10KB_CADD
samp56	49	RV_10KB_HPO
samp56	14	RV_10KB_CADD_HPO
samp56	951	HPO
samp56	465	EXP_OUTLIER
samp56	52	EXP_OUTLIER_PLI
samp56	46	EXP_OUTLIER_ASE
samp56	39	EXP_OUTLIER_RIVER
samp56	23	EXP_OUTLIER_HPO
samp56	16	EXP_OUTLIER_RV
samp56	5	EXP_OUTLIER_RV_CADD
samp56	1	EXP_OUTLIER_RV_CADD_HPO
samp57	411	RV_10KB_CADD
samp57	235	RV_10KB_HPO
samp57	88	RV_10KB_CADD_HPO
samp57	3009	HPO
samp57	679	EXP_OUTLIER
samp57	100	EXP_OUTLIER_PLI
samp57	66	EXP_OUTLIER_ASE
samp57	91	EXP_OUTLIER_RIVER
samp57	85	EXP_OUTLIER_HPO
samp57	44	EXP_OUTLIER_RV
samp57	14	EXP_OUTLIER_RV_CADD
